Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,,Speed,Announced,Status,Dimensions,Weight,Keyboard,Build,SIM,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,_1,Dual,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,Models,SAR,SAR EU,Price,Performance,Features_1,Charging,_1_1,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Single_1,Stand-by,Talk time,Music play,Browser,GPRS,EDGE,Stand-by_1,Talk time_1,Alert types
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'blackberry',b'BlackBerry KEY2 LE',b'https://fdn2.gsmarena.com/vv/bigpic/blackberry-key2-le-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 26, 28, 32, 38, 40, 41 - BBE100-1, BBE100-4 DS (EU, Africa, AU)'","b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 28, 29, 66, 38, 39, 40, 41 - BBE100-2, BBE100-5 DS (NA, LATAM)'","b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2018, August'","b'Available. Released 2018, October'",b'150.3 x 71.8 x 8.4 mm (5.92 x 2.83 x 0.33 in)',b'156 g (5.50 oz)',b'QWERTY',"b'Glass front (Gorilla Glass), plastic back, aluminum frame'","b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'4.5 inches, 60.0 cm2 (~55.6% screen-to-body ratio)'","b'1080 x 1620 pixels, 3:2 ratio (~434 ppi density)'",b'Corning Gorilla Glass (unspecified version)',b'Android 8.1 (Oreo)',b'Qualcomm SDM636 Snapdragon 636 (14 nm)',b'Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver)',b'Adreno 509',b'microSDXC (uses shared SIM slot)',"b'32GB 4GB RAM, 64GB 4GB RAM'",b'eMMC 5.1',"b'13 MP, f/2.2, 1/3.1"", 1.12\xc2\xb5m, PDAF 5 MP, f/2.4, (depth)'","b'Dual-LED dual-tone flash, HDR, panorama'","b'4K@30fps, 1080p@30fps'",b'8 MP',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, EDR'","b'Yes, with A-GPS, GLONASS'",b'Yes',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (front-mounted), accelerometer, proximity, compass'","b'Li-Ion 3000 mAh, non-removable'","b'Slate, Champagne, Atomic'","b'BBE100-4, BBE100-5, BBE100-1, BBE100-2'",b'1.01 W/kg (head) \xc2\xa0 \xc2\xa0 1.17 W/kg (body)',b'0.78 W/kg (head) \xc2\xa0 \xc2\xa0 1.61 W/kg (body)',b'About 440 EUR',b'AnTuTu: 116764 (v7)GeekBench: 4965 (v4.4)',,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'blackberry',b'BlackBerry Evolve X',b'https://fdn2.gsmarena.com/vv/bigpic/blackberry-exolve-x-5.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 900 / 2100',"b'1, 3, 5, 7, 8, 40, 41'",b'eMMC 5.1',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat12 600/150 Mbps'","b'2018, August'","b'Available. Released 2018, August'",b'159.1 x 76.8 x 8.8 mm (6.26 x 3.02 x 0.35 in)',b'170 g (5.93 oz)',,"b'Glass front (Gorilla Glass 5), plastic/aluminum back, aluminum frame (7000 series)'","b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.99 inches, 92.6 cm2 (~75.8% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~403 ppi density)'",b'Corning Gorilla Glass 5',b'Android 8.1 (Oreo)',b'Qualcomm SDM660 Snapdragon 660 (14 nm)',b'Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 512',b'microSDXC (uses shared SIM slot)',b'64GB 6GB RAM',,"b'12 MP, f/1.8, 1/2.8"", 1.29\xc2\xb5m, PDAF 13 MP, f/2.6, 1/3.4"", 1.0\xc2\xb5m, 2\xd1\x85 optical zoom, PDAF'","b'Dual-LED dual-tone flash, HDR, panorama'",b'1080p@30fps',"b'16 MP, f/2.0, (wide), 1/3.06"", 1.0\xc2\xb5m'",b'1080p@30/60fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, SBAS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 4000 mAh, non-removable'",b'Black',,,,b'About 350 EUR',,b'LED flash',b'Fast charging 18W Quick Charge 3.0 USB Power Delivery 2.0 Wireless charging',,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'blackberry',b'BlackBerry Evolve',b'https://fdn2.gsmarena.com/vv/bigpic/blackberry-exolve-6.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 900 / 2100',"b'1, 3, 5, 7, 8, 40, 41'",b'eMMC 5.1',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2018, August'","b'Available. Released 2018, October'",b'158.9 x 76.1 x 8.4 mm (6.26 x 3.00 x 0.33 in)',b'170 g (5.93 oz)',,,"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.99 inches, 92.6 cm2 (~76.6% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~403 ppi density)'",b'Corning Gorilla Glass 5',b'Android 8.1 (Oreo)',b'Qualcomm SDM450 Snapdragon 450 (14 nm)',b'Octa-core 1.8 GHz Cortex-A53',b'Adreno 506',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',,"b'13 MP, 1/3.1"", 1.12\xc2\xb5m, PDAF 13 MP B/W, 1/3.1"", 1.12\xc2\xb5m, PDAF'","b'Dual-LED dual-tone flash, HDR, panorama'",b'1080p@30fps',"b'16 MP, f/2.0, (wide), 1/3.06"", 1.0\xc2\xb5m'",b'1080p@30/60fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 4000 mAh, non-removable'",b'Black',b'BBG100-1',,,b'About 300 EUR',,b'LED flash',b'Fast charging 18W Quick Charge 3.0 USB Power Delivery 2.0',,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'blackberry',b'BlackBerry KEY2',b'https://fdn2.gsmarena.com/vv/bigpic/blackberry-key2-new.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (BBF100-6 model only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 26, 28, 32, 38, 39, 40, 41 - EU, Africa, AU (BBF100-1)'","b'1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 20, 28, 29, 30, 38, 39, 40, 41, 66 - Canada, US, LATAM (BBF100-2)'","b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat11 600/75 Mbps'","b'2018, June'","b'Available. Released 2018, June'",b'151.4 x 71.8 x 8.5 mm (5.96 x 2.83 x 0.33 in)',b'168 g (5.93 oz)',b'QWERTY',"b'Glass front (Gorilla Glass 3), plastic back, aluminum frame (7000 series)'","b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by) - BBF100-6 only'",b'IPS LCD',"b'4.5 inches, 60.0 cm2 (~55.2% screen-to-body ratio)'","b'1080 x 1620 pixels, 3:2 ratio (~434 ppi density)'",b'Corning Gorilla Glass 3',b'Android 8.1 (Oreo)',b'Qualcomm SDM660 Snapdragon 660 (14 nm)',b'Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 512',b'microSDXC (uses shared SIM slot)',"b'64GB 6GB RAM, 128GB 6GB RAM'","b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 26, 28, 32, 38, 39, 40, 41 - ME, APAC, India (BBF100-6)'","b'12 MP, f/1.8, 1/2.3"", 1.28\xc2\xb5m, dual pixel PDAF 12 MP, f/2.6, 1/3.4"", 1.0\xc2\xb5m, PDAF'","b'Dual-LED dual-tone flash, HDR, panorama'","b'4K@30fps, 1080p@30fps'","b'8 MP, f/2.0, 1/4"", 1.12\xc2\xb5m'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, EDR'","b'Yes, with A-GPS, GLONASS, BDS2'",b'Yes',b'FM radio',"b'USB Type-C 3.0, USB On-The-Go'","b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3500 mAh, non-removable'","b'Black, Silver, Red'","b'BBF100-6, BBF100-1, BBF100-2'",,b'0.72 W/kg (head) \xc2\xa0 \xc2\xa0 1.68 W/kg (body)',b'About 500 EUR',b'AnTuTu: 140984 (v7)GeekBench: 5830 (v4.4)GFXBench: 11fps (ES 3.1 onscreen)',,"b'Fast charging 18W, 50% in 36 min (advertised) Quick Charge 3.0'",b'eMMC 5.1',"b'Contrast ratio: 1572 (nominal), 3.212 (sunlight)'",b'Photo / Video',b'Voice 66dB / Noise 72dB / Ring 79dB',b'Noise -90.7dB / Crosstalk -94.2dB',b'Endurance rating 86h',,,,,,,,,,
