Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,SAR EU,GPU,GPRS,EDGE,,Features_1,Price,Stand-by,Talk time,Phonebook,Call records,Messaging,Games,Java,_1,_1_1,SAR,Infrared port,Keyboard,Alert types,Browser,Languages,Clock,Alarm,4G bands,Build,Quad,Charging,Models,Triple,Dual,5G bands,Protection
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'coolpad',b'Coolpad Legacy',b'https://fdn2.gsmarena.com/vv/bigpic/coolpad-legacy.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1700(AWS) / 1900',"b'HSPA 42.2/5.76 Mbps, LTE'","b'2019, May'","b'Available. Released 2019, May'",b'165.9 x 80.5 x 8.4 mm (6.53 x 3.17 x 0.33 in)',b'170 g (6.00 oz)',b'Nano-SIM',b'IPS LCD',"b'6.36 inches, 104.4 cm2 (~78.2% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~380 ppi density)'",b'Android 9.0 (Pie)',b'Qualcomm SDM450 Snapdragon 450 (14 nm)',b'Octa-core 1.8 GHz Cortex-A53',b'microSDXC (dedicated slot)',b'32GB 3GB RAM',b'13 MP',"b'LED flash, panorama, HDR'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",b'Silver',,b'Adreno 506',,,b'eMMC 5.1',,b'About 160 EUR',,,,,,,,,,,b'Yes',,,,,,,"b'2, 4, 5, 12, 66, 71'",,,b'Fast charging 15W',,,"b'16 MP, AF 5 MP'",,b'Corning Gorilla Glass 3'
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'coolpad',b'Coolpad Cool 5',b'https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-5.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, October'","b'Available. Released 2019, October'",b'157 x 76 x 8 mm (6.18 x 2.99 x 0.31 in)',b'145 g (5.11 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.22 inches, 96.6 cm2 (~80.9% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~270 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'microSDXC',b'64GB 4GB RAM',"b'16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0\xc2\xb5m'","b'LED flash, panorama, HDR'",b'1080p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'","b'Gradient Blue, Midnight Blue'",,b'PowerVR GE8320',,,b'eMMC 5.1',,b'About 8000 INR',,,,,,,,,,,b'Yes',,,,,,,"b'1, 2, 3, 4, 5, 7, 8, 19, 20, 28, 38, 40'",,,b'Fast charging',,,"b'13 MP, AF 2 MP'",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'coolpad',b'Coolpad Cool 3 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-3-plus.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, June'","b'Available. Released 2019, June'",b'145.7 x 70.9 x 8.2 mm (5.74 x 2.79 x 0.32 in)',b'135 g (4.76 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.71 inches, 81.4 cm2 (~78.8% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~295 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT6761 Helio A22 (12 nm)',b'Quad-core 2.0 GHz Cortex-A53',b'microSDXC (uses shared SIM slot)',"b'16GB 2GB RAM, 32GB 3GB RAM'","b'13 MP, AF'","b'LED flash, panorama, HDR'",b'1080p@30fps',b'8 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'No',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 3000 mAh, non-removable'","b'Ocean Blue, Cherry Black'",,b'PowerVR GE8320',,,b'eMMC 5.1',,b'About 6000 INR',,,,,,,,,,,b'Yes',,,,,,,"b'1, 2, 3, 4, 5, 6, 7, 8, 19, 20, 28'",,,,b'1825-I01',,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'coolpad',b'Coolpad Cool Play 8',b'https://fdn2.gsmarena.com/vv/bigpic/coolpad-8.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE'","b'2018, December'","b'Available. Released 2018, December'",b'155.5 x 74.8 x 8.5 mm (6.12 x 2.94 x 0.33 in)',b'177 g (6.24 oz)',b'Dual SIM',b'IPS LCD',"b'6.2 inches, 96.9 cm2 (~83.3% screen-to-body ratio)'","b'1080 x 2246 pixels, 18.7:9 ratio (~402 ppi density)'","b'Android 8 (Oreo), Cool UI 9'",b'Mediatek MT6750 (28 nm)',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',b'microSDXC',b'64GB 4GB RAM',b'8 MP',"b'LED flash, panorama, HDR'",b'1080p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 4000 mAh, non-removable'","b'Black, Red'",,b'Mali-T860MP2',,,b'eMMC 5.1',,b'About 150 EUR',,,,,,,,,,,,,,,,,,"b'1, 3, 5, 40'",,,b'Charging 10W',,,"b'16 MP, AF 2 MP, (depth)'",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'coolpad',b'Coolpad Mega 5A',b'https://fdn2.gsmarena.com/vv/bigpic/coolpad-mega-5a-.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE'","b'2018, August'","b'Available. Released 2018, August'",b'-',b'-',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.45 inches, 76.7 cm2'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'",b'Android 8.1 (Oreo)',b'Spreadtrum SC9850K',b'Quad-core 1.3 GHz Cortex-A7',b'microSDXC (uses shared SIM slot)',b'16GB 2GB RAM',b'5 MP',"b'LED flash, panorama, HDR'",b'1080p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer'","b'Li-Ion 2500 mAh, non-removable'",b'Gold',,b'Mali-820MP1',,,b'CDMA 800 & TD-SCDMA',b'LED flash',b'About 7000 INR',,,,,,,,,,,b'Yes',,,,,,,"b'1, 3, 5, 40'",,,,,,"b'8 MP, f/2.0, PDAF 0.3 MP, (depth)'",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'coolpad',b'Coolpad Note 6',b'https://fdn2.gsmarena.com/vv/bigpic/coolpad-note-6-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE'","b'2018, May'","b'Available. Released 2018, May'",b'153.7 x 76.4 x 8.6 mm (6.05 x 3.01 x 0.34 in)',b'170 g (6.00 oz)',b'Dual SIM',b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~71.0% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'",b'Android 7.1 (Nougat)',b'Qualcomm MSM8940 Snapdragon 435 (28 nm)',b'Octa-core 1.4 GHz Cortex-A53',b'microSDXC (dedicated slot)',"b'32GB 3GB RAM, 64GB 4GB RAM'","b'13 MP, 2.2, AF'","b'LED flash, panorama, HDR'",b'1080p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (front-mounted), accelerometer, proximity'","b'Li-Ion 4070 mAh, non-removable'",b'Gold',,b'Adreno 505',,,b'eMMC 5.1',,b'About 9000 INR',,,,,,,,,,,,,,,,,,"b'1, 3, 5, 40'",,,,,,"b'8 MP 5 MP, depth sensor'",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'coolpad',b'Coolpad Cool 2',b'https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-2.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE'","b'2018, April'","b'Available. Released 2018, June'",b'154.7 x 73.3 x 9 mm (6.09 x 2.89 x 0.35 in)',b'160 g (5.64 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.7 inches, 83.8 cm2 (~73.9% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~282 ppi density)'",b'Android 7.0 (Nougat)',b'Mediatek MT6750 (28 nm)',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',b'8 MP',"b'LED flash, panorama, HDR'",b'1080p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'No',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 3200 mAh, non-removable'","b'Gold, Blue'",,b'Mali-T860MP2',,,b'CDMA 800 & TD-SCDMA',,,,,,,,,,b'Splash resistant',b'eMMC 5.1',,b'Yes',,,,,,,"b'1, 3, 5, 7, 8, 38, 39, 40, 41'","b'Glass front, aluminum back, aluminum frame'",,,,,"b'13 MP, AF 0.3 MP, (depth)'",,
