Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,OS,Chipset,CPU,GPU,Card slot,Internal,_1,Triple,Features,Video,Dual,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Charging,Colors,_1_1,Models,Price,Quad,Single,Performance,Display,Camera,Loudspeaker_1,Battery life,GPRS,EDGE,Build,4GB,Single_1,Dual_1,Protection,128GB 4GB RAM,256GB 8GB RAM,128GB 8GB RAM,128GB 6GB RAM,Audio quality,256GB 6GB RAM,Triple_1,64GB 3GB RAM,64GB 4GB RAM,64GB 6GB RAM,SAR EU,SAR,Stand-by,Talk time,Keyboard,Browser,Alert types,Music play,Phonebook,Call records,Messaging,Games,Java,Stand-by_1,Talk time_1,Penta,256GB 12GB RAM,512GB 8GB RAM,4GB 32MB RAM,32GB 2GB RAM,Five,32GB 3GB RAM,16GB 2GB RAM,32GB 4GB RAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei P30 Pro New Edition',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-p30-pro-new-edition.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',b'LTE (unspecified)',,"b'HSPA 42.2/5.76 Mbps, LTE-A Cat21 1400/200 Mbps'","b'2020, May 12'","b'Available. Released 2020, June 01'",b'158 x 73.4 x 8.4 mm (6.22 x 2.89 x 0.33 in)',b'192 g (6.77 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'OLED, HDR10'","b'6.47 inches, 102.8 cm2 (~88.6% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)'",b'IP68 dust/water resistant (up to 2m for 30 mins)',"b'Android 10, EMUI 10.1, Google Play Services'",b'Kirin 980 (7 nm)',b'Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55)',b'Mali-G76 MP10',"b'NM (Nano Memory), up to 256GB (uses shared SIM slot)'","b'128GB 6GB RAM, 256GB 8GB RAM'",b'UFS 3.0',,"b'Leica optics, dual-LED dual-tone flash, panorama, HDR'","b'4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps'",,b'HDR',b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, aptX HD, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'Yes',b'Yes',b'No',b'USB Type-C 3.1',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum'","b'Li-Po 4200 mAh, non-removable'","b'Fast charging 40W, 70% in 30 min (advertised) Fast wireless charging 15W Reverse wireless charging'","b'Aurora, Black, Silver Frost'",b'32-bit/384kHz audio',,b'$\xe2\x80\x89679.00 / \xe2\x82\xac\xe2\x80\x89555.00 / \xc2\xa3\xe2\x80\x89621.38',"b'40 MP, f/1.6, 27mm (wide), 1/1.7"", PDAF, OIS 8 MP, f/3.4, 125mm (periscope telephoto), 1/4.0"", PDAF, OIS, 5x optical zoom, 10x hybrid zoom 20 MP, f/2.2, 16mm (ultrawide), 1/2.7"", PDAF TOF 3D, (depth)'","b'32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8\xc2\xb5m'",,,,,,,,"b'Glass front (Aluminosilicate glass), glass back (Aluminosilicate glass), aluminum frame'",,,,,,b'$\xe2\x80\x89679.00',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei MatePad T8',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-mediapad-t8.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Kobe2-L03',"b'1, 3, 5, 7, 8, 18, 19, 20, 26, 28, 38, 40, 41 - Kobe2-L09'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, May 07'","b'Available. Released 2020, May 19'",b'199.7 x 121.1 x 8.6 mm (7.86 x 4.77 x 0.34 in)',b'310 g (10.93 oz)',b'Nano-SIM',b'IPS LCD',"b'8.0 inches, 185.6 cm2 (~76.7% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~189 ppi density)'",b'HSDPA 800 / 850 / 900 / 1900 / 2100 - Kobe2-L09',"b'Android 10, EMUI 10, no Google Play Services'",b'Mediatek MT8768',b'Octa-core (4x2.0 GHz Cortex-A53 & 4x1.50 GHz Cortex A53)',b'PowerVR GE8320',b'microSDXC',"b'16GB 2GB RAM, 32GB 2GB RAM'","b'1, 2, 3, 4, 5, 7, 8, 12, 17, 28, 40, 66 - Kobe2-L03'",,,b'1080p@30fps',,,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',,b'No',"b'microUSB 2.0, USB On-The-Go'",b'Accelerometer',"b'Li-Po 5100 mAh, non-removable'",,b'Deepsea Blue',b'eMMC 5.1',"b'Kobe2-L09, Kobe2-L03, KOB2-L09, KOB2-W09'",b'About 100 EUR',,"b'5 MP, f/2.2'",,,,,,,,,,"b'2 MP, f/2.4'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei Y8s',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-y8s.png',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 2100 - JKM-LX2',"b'1, 3, 5, 7, 8, 28, 38, 40, 41 - JKM-LX2'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, May 6'","b'Available. Released 2020, May 21'",b'162.4 x 77.1 x 8.1 mm (6.39 x 3.04 x 0.32 in)',b'180 g (6.35 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.5 inches, 103.7 cm2 (~82.8% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)'",b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - JKM-LX3',"b'Android 9.0 (Pie), EMUI 9.1, Google Play Services'",b'Kirin 710 (12 nm)',b'Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)',b'Mali-G51 MP4',b'microSDXC',"b'64GB 4GB RAM, 128GB 4GB RAM'",b'HSDPA 900 / 2100 - JKM-LX1',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'48 MP, f/1.8, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 2 MP, f/2.4, (depth)'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',,b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",b'Charging 10W',"b'Emerald Green, Midnight Black'","b'1, 3, 5, 7, 8, 20 - JKM-LX1'","b'JKM-LX1, JKM-LX2, JKM-LX3'",b'About 140 EUR',,,,,,,,,,,,,"b'8 MP, f/2.0, (wide) 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei Y6p',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-y6p.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps'","b'2020, May 05'","b'Available. Released 2020, May 06'",b'159.1 x 74.1 x 9 mm (6.26 x 2.92 x 0.35 in)',b'185 g (6.53 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.3 inches, 95.8 cm2 (~81.3% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~278 ppi density)'",b'eMMC 5.1',"b'Android 10, EMUI 10.1, no Google Play Services'",b'Mediatek MT6762R Helio P22 (12 nm)',b'Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)',b'PowerVR GE8320',b'microSDXC (dedicated slot)',"b'32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM'",,"b'13 MP, f/1.8, (wide), PDAF 5 MP, f/2.2, 120\xcb\x9a (ultrawide) 2 MP, f/2.4, (depth)'","b'LED flash, HDR, panorama'",b'1080p@30fps',,b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'Yes (market/region dependent)MED-LX9N (Yes); MED-LX9 (No)',,b'FM radio; built-in antenna',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 5000 mAh, non-removable'",b'Charging 10W Reverse charging',"b'Phantom Purple, Emerald Green, Midnight Black'",,"b'MED-LX9, MED-LX9N'",b'\xe2\x82\xac\xe2\x80\x89119.99 / \xc2\xa3\xe2\x80\x89120.85',,"b'8 MP, f/2.0, (wide)'",,,,,,,,"b'Glass front, plastic back, plastic frame'",,,,,,,,,,,,b'\xe2\x82\xac\xe2\x80\x89119.99',,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei Y5p',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-y5p.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, May 05'","b'Available. Released 2020, May 06'",b'146.5 x 70.9 x 8.4 mm (5.77 x 2.79 x 0.33 in)',b'144 g (5.08 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.45 inches, 76.7 cm2 (~73.8% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'",b'eMMC 5.1',"b'Android 10, EMUI 10.1, no Google Play Services'",b'Mediatek MT6762R Helio P22 (12 nm)',b'Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)',b'PowerVR GE8320',b'microSDXC (dedicated slot)',b'32GB 2GB RAM',,,"b'LED flash, HDR, panorama'",b'1080p@30fps',,,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',,b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Po 3020 mAh, non-removable'",,"b'Mint Green, Midnight Black, Phantom Blue'",,b'DRA-LX9',b'\xe2\x82\xac\xe2\x80\x8994.99 / \xc2\xa3\xe2\x80\x8982.49',,"b'8 MP, f/2.0, (wide), AF'",,,,,,,,,,"b'5 MP, f/2.2'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'\xe2\x82\xac\xe2\x80\x8994.99',,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei P smart 2020',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-p-smart-2020-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 7, 8, 20'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2020, April 29'","b'Available. Released 2020, May 8'",b'155.2 x 73.4 x 8 mm (6.11 x 2.89 x 0.31 in)',b'160 g (5.64 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'LTPS IPS LCD',"b'6.21 inches, 94.7 cm2 (~83.1% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~415 ppi density)'",b'UFS 2.1',"b'Android 9.0 (Pie), EMUI 9.1, Google Play Services'",b'Kirin 710 (12 nm)',b'Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)',b'Mali-G51 MP4',b'microSDXC (uses shared SIM slot)',b'128GB 4GB RAM',,,"b'LED flash, HDR, panorama'",b'1080p@30/60fps',"b'13 MP, f/1.8, PDAF 2 MP, (depth)'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'Yes',,b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Ion 3400 mAh, non-removable'",b'Charging 10W',"b'Midnight Black, Aurora Blue, Green'",,,b'$\xe2\x80\x89193.99 / \xe2\x82\xac\xe2\x80\x89155.00 / \xc2\xa3\xe2\x80\x89157.49',,"b'8 MP, f/2.0'",,,,,,,,"b'Glass front, plastic back, plastic frame'",,,,,b'$\xe2\x80\x89193.99',,,,,,,,,,b'0.83 W/kg (head)',,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei nova 7 Pro 5G',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-nova7-pro-5g.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 6, 7, 8, 9, 18, 19, 26, 34, 38, 39, 40, 41'","b'1, 3, 41, 77, 78, 79 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, April 23'","b'Available. Released 2020, April 28'",b'160.4 x 73.7 x 8 mm (6.31 x 2.90 x 0.31 in)',b'178 g (6.28 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'OLED',"b'6.57 inches, 106.0 cm2 (~89.6% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~392 ppi density)'",b'CDMA 800 & TD-SCDMA',"b'Android 10, EMUI 10, no Google Play Services'",b'Kirin 985 5G (7 nm)',b'Octa-core (1x2.58 GHz Cortex-A76 & 3x2.40 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55)',b'Mali-G77 (8-core)',b'No',"b'128GB 8GB RAM, 256GB 8GB RAM'",b'UFS 3.0',,"b'Dual-LED dual-tone flash, panorama, HDR'","b'4K, 1080p, 720p@960fps, gyro-EIS'","b'32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 17mm (ultrawide)'",b'HDR',b'4K',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'Yes',,b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'","b'Fast charging 40W, 75% in 30 min (advertised) Reverse charging 5W'","b'Black, Red, Purple, Green, Blue'",,b'JER-AN10',b'About 480 EUR',"b'64 MP, f/1.8, 26mm (wide), PDAF 8 MP, f/3.4, 125mm (periscope telephoto), PDAF, OIS, 5x optical zoom 8 MP, f/2.4, 17mm (ultrawide) 2 MP, f/2.4, (macro)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei nova 7 5G',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-nova7-5g.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 6, 7, 8, 9, 18, 19, 20, 26, 28, 38, 40, 41, 66 - International'","b'1, 3, 28, 38, 41, 77, 78, 79 SA/NSA - International'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, April 23'","b'Available. Released 2020, April 28'",b'160.6 x 74.3 x 8 mm (6.32 x 2.93 x 0.31 in)',b'180 g (6.35 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'",b'OLED',"b'6.53 inches, 102.9 cm2 (~86.3% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~403 ppi density)'",b'CDMA 800 & TD-SCDMA',"b'Android 10, EMUI 10.1, no Google Play Services'",b'Kirin 985 5G (7 nm)',b'Octa-core (1x2.58 GHz Cortex-A76 & 3x2.40 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55)',b'Mali-G77 (8-core)',b'No',"b'128GB 8GB RAM, 256GB 8GB RAM'","b'1, 2, 3, 4, 5, 6, 7, 8, 9, 18, 19, 26, 34, 38, 39, 40, 41 - China'",,"b'LED flash, Panorama, HDR'","b'4K, 1080p, 720p@960fps, gyro-EIS'",,b'HDR',b'4K',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS'",b'Yes',,b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'","b'Fast charging 40W, 75% in 30 min (advertised) Reverse charging 5W'","b'Black, Space Silver, Midsummer Purple, Red, Green'",b'UFS 3.0',"b'JEF-AN00, JEF-NX9'",b'About 390 EUR',"b'64 MP, f/1.8, 26mm (wide), PDAF 8 MP, f/2.4, 80mm (telephoto), PDAF, 3x optical zoom 8 MP, f/2.4, 17mm (ultrawide) 2 MP, f/2.4, (macro)'","b'32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8\xc2\xb5m'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei nova 7 SE',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-nova7-se-new.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 6, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 66 - International'","b'1, 3, 28, 38, 41, 77, 78, 79 SA/NSA - International'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, April 23. Released 2020, April 28'",b'Discontinued',b'162.3 x 75 x 8.6 mm (6.39 x 2.95 x 0.34 in)',b'189 g (6.67 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'LTPS IPS LCD, HDR10'","b'6.5 inches, 102.0 cm2 (~83.8% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~405 ppi density)'",b'CDMA 800 & TD-SCDMA',"b'Android 10, EMUI 10.1, no Google Play Services'",b'Kirin 820 5G (7nm)',b'Octa-core (1x2.36 GHz Cortex-A76 & 3x2.22 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55)',b'Mali-G57 (6-core)',"b'NM (Nano Memory), up to 256GB (uses shared SIM slot)'","b'128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM'","b'1, 2, 3, 4, 5, 6, 8, 18, 19, 26, 34, 38, 39, 40, 41 - China'",,"b'LED flash, Panorama, HDR'","b'4K, 1080p, 720p@960fps'",,b'HDR',b'1080p',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS'",b'No',,b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'","b'Fast charging 40W, 70% in 30 min (advertised) Reverse charging 5W'","b'Black, Space Silver, Midsummer Purple, Crush Green'","b'1, 3, 41, 78, 79 SA/NSA - China'","b'CDY-AN00, CDY-NX9B'",b'About 320 EUR',"b'64 MP, f/1.8, 26mm (wide), PDAF 8 MP, f/2.4, 17mm (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'16 MP, f/2.0, (wide)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei MatePad 10.4',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-10.4.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 7, 8, 34, 38, 39, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, April 23'","b'Available. Released 2020, April 28'",b'245.2 x 155 x 7.4 mm (9.65 x 6.10 x 0.29 in)',b'450 g (0.99 lb)',b'Nano-SIM',b'IPS LCD',"b'10.4 inches, 307.9 cm2 (~81.0% screen-to-body ratio)'","b'1200 x 2000 pixels, 5:3 ratio (~224 ppi density)'",b'Stylus support',"b'Android 10, EMUI 10, no Google Play Services'",b'Kirin 810 (7 nm)',b'Octa-core (2x2.27 GHz Cortex-A76 & 6x1.88 GHz Cortex-A55)',b'Mali-G52 MP6',b'microSDXC',"b'32GB 3GB RAM, 64GB 4GB RAM, 128GB 6GB RAM'",b'Tuned by Harman Kardon',,"b'LED flash, HDR, panorama'",b'1080p@30fps',,b'HDR',b'1080p@30fps',"b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, BDS (LTE model only)'",b'No',,b'No',b'USB Type-C 2.0',"b'Accelerometer, gyro, proximity, compass'","b'Li-Po 7250 mAh, non-removable'",b'Fast charging 18W',"b'White, Gray'",,"b'BAH3-W09, BAH3-AL00'",b'About 250 EUR',,"b'8 MP, AF'",,,,,,,,"b'Glass front, aluminum back, aluminum frame'",,b'8 MP',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei Watch GT 2e',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-gt2e-new.jpg',b'No cellular connectivity',b'N/A',b'N/A',b'N/A',,b'No',"b'2020, March 26'","b'Available. Released 2020, April 20'",b'53 x 46.8 x 10.8 mm (2.09 x 1.84 x 0.43 in)',b'43 g (1.52 oz)',b'No',b'AMOLED',"b'1.39 inches, 12.5 cm2 (~50.5% screen-to-body ratio)'","b'454 x 454 pixels, 1:1 ratio (~326 ppi density)'",b'50m water resistant',b'Huawei wearable platform',,,,b'No',b'4GB 16MB RAM',b'eMMC',,,,,,,b'No',b'No',b'No',"b'5.1, LE, EDR'","b'Yes, with GLONASS'",b'No',,b'No',b'No',"b'Accelerometer, gyro, heart rate, barometer, compass, SpO2'","b'Li-Ion 455 mAh, non-removable'",,"b'Graphite Black, Lava Red, Mint Green, Icy White'",b'No',b'HCT-B19',b'$\xe2\x80\x89149.99 / \xe2\x82\xac\xe2\x80\x8989.00',,,,,,,,b'No',b'No',"b'Glass front, plastic/metal back, stainless steel frame'",b'$\xe2\x80\x89149.99',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
