Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Stand-by,Talk time,Colors,,_1,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Keyboard,_1_1,Price,4G bands,Quad,Charging,Models,64GB 4GB RAM,128GB 4GB RAM,Build,Features_1,4GB 512MB RAM,5G bands,Protection,Dual,SAR,SAR EU,128MB 64MB RAM,Triple,32GB 3GB RAM,64GB 3GB RAM,32GB 2GB RAM,16GB 2GB RAM,128GB 8GB RAM,64GB 6GB RAM,64GB 8GB RAM,16GB 1GB RAM,16MB 8MB RAM,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,128GB 6GB RAM,4GB 512MB,Five,8GB 1GB RAM,Music play,Stand-by_1,Talk time_1,16GB 3GB RAM,Browser,Infrared port,Alert types,Languages,Clock,Alarm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'nokia',b'Nokia 2 V Tella',b'https://fdn2.gsmarena.com/vv/bigpic/nokia-2-v-tella.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1700(AWS) / 1900',"b'HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps'","b'2020, October 21'","b'Available. Released 2020, October 21'",b'150.6 x 71.6 x 9.1 mm (5.93 x 2.82 x 0.36 in)',b'180 g (6.35 oz)',b'Nano-SIM',b'IPS LCD',"b'5.45 inches, 76.7 cm2 (~71.1% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'",b'Android 10',b'Mediatek MT6761 Helio A22 (16 nm)',b'Quad-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC',b'16GB 2GB RAM',b'5 MP',"b'LED flash, HDR, panorama'",b'1080p@30fps',,b'720p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Accelerometer, proximity'","b'Li-Po 3000 mAh, removable'",,,b'Blue',b'eMMC 5.1',,,,,,,,,,,b'About 140 EUR',b'LTE',,b'Charging 10W',,,,"b'Glass front, plastic back, plastic frame'",,,,,"b'8 MP, AF 2 MP'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'nokia',b'Nokia 225 4G',b'https://fdn2.gsmarena.com/vv/bigpic/nokia-225-4g.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 2100 - International',"b'HSPA, LTE'","b'2020, October 10'","b'Available. Released 2020, October 17'",b'124.7 x 51 x 13.7 mm (4.91 x 2.01 x 0.54 in)',b'90.1 g (3.17 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'","b'TFT, 256K colors'","b'2.4 inches, 17.8 cm2 (~28.0% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",,b'Unisoc UMS9117',,,b'microSDHC',b'128MB 64MB RAM',b'0.3 MP',,b'',,,b'Yes',b'Yes',b'No',b'5.0',b'No',b'No',"b'FM radio, built-in antenna'",b'microUSB 2.0',b'',"b'Li-Ion 1150 mAh, removable'",,,"b'Black, Classic Blue, Metallic Sand'","b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - NA, LATAM'","b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - MENA, AU, NZ, PHI, HK, TW, NG, TZ'",,,b'Yes',b'Yes',"b'SMS(threaded view), MMS, IM'",b'Yes',b'',,b'MP3 player',"b'\xc2\xa3\xe2\x80\x8944.99 / \xe2\x82\xb9\xe2\x80\x893,539'","b'1, 3, 5, 7, 8, 20, 38, 40 - EU, APAC, SSA'",,,"b'TA-1321, TA-1296, TA-1279, TA-1276'",,,,,,,,,b'1.41 W/kg (head) \xc2\xa0 \xc2\xa0 1.34 W/kg (body)',b'1.63 W/kg (head) \xc2\xa0 \xc2\xa0 1.79 W/kg (body)',b'\xc2\xa3\xe2\x80\x8944.99',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'nokia',b'Nokia 215 4G',b'https://fdn2.gsmarena.com/vv/bigpic/nokia-215-4g.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 2100 - International',"b'HSPA, LTE'","b'2020, October 10'","b'Available. Released 2020, October 17'",b'124.7 x 51 x 13.7 mm (4.91 x 2.01 x 0.54 in)',b'90.3 g (3.17 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'","b'TFT, 256K colors'","b'2.4 inches, 17.8 cm2 (~28.0% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",,b'Unisoc UMS9117',,,b'microSDHC',b'128MB 64MB RAM',,,,,,b'Yes',b'Yes',b'No',b'5.0',b'No',b'No',"b'FM radio, built-in antenna'",b'microUSB 2.0',b'',"b'Li-Ion 1150 mAh, removable'",,,"b'Black, Cyan Green'","b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - NA, LATAM'","b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - MENA, AU, NZ, PHI, HK, TW, NG, TZ'",,,b'Yes',b'Yes',"b'SMS(threaded view), MMS, IM'",b'Yes',b'',,b'MP3 player',"b'$\xe2\x80\x8969.95 / \xe2\x82\xb9\xe2\x80\x893,221'","b'1, 3, 5, 7, 8, 20, 38, 40 - EU, APAC, SSA'",,,"b'TA-1284, TA-1281, TA-1272, TA-1264'",,,,,,,,,b'1.14 W/kg (head) \xc2\xa0 \xc2\xa0 1.35 W/kg (body)',b'1.63 W/kg (head) \xc2\xa0 \xc2\xa0 1.79 W/kg (body)',b'$\xe2\x80\x8969.95',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'nokia',b'Nokia 3.4',b'https://fdn2.gsmarena.com/vv/bigpic/nokia-34.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, September 22'","b'Available. Released 2020, October 26'",b'161 x 76 x 8.7 mm (6.34 x 2.99 x 0.34 in)',b'180 g (6.35 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 400 nits (typ)'","b'6.39 inches, 100.2 cm2 (~81.9% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)'","b'Android 10, planned upgrade to Android 11'",b'Qualcomm SM4250 Snapdragon 460 (11 nm)',b'Octa-core (4x1.8 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53)',b'Adreno 610',b'microSDXC (dedicated slot)',"b'32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM'","b'8 MP, (wide)'","b'LED flash, HDR, panorama'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, aptX'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes (market/region dependent)',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'","b'Li-Po 4000 mAh, non-removable'",,,"b'Fjord, Dusk, Charcoal'",b'eMMC 5.1',,,,,,,,,,,b'\xe2\x82\xac\xe2\x80\x89138.98 / \xc2\xa3\xe2\x80\x89115.99',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 13, 28, 66'",,b'Charging 10W',"b'TA-1288, TA-1285, TA-1283'",b'\xe2\x82\xac\xe2\x80\x89162.73',,,,,,,,b'0.83 W/kg (head) \xc2\xa0 \xc2\xa0 1.05 W/kg (body)',b'0.36 W/kg (head) \xc2\xa0 \xc2\xa0 1.56 W/kg (body)',,"b'13 MP, (wide), PDAF 5 MP, (ultrawide) 2 MP, (depth)'",b'\xe2\x82\xac\xe2\x80\x89161.74',b'\xe2\x82\xac\xe2\x80\x89138.98',,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'nokia',b'Nokia 2.4',b'https://fdn2.gsmarena.com/vv/bigpic/nokia-24.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps'","b'2020, September 22'","b'Available. Released 2020, September 30'",b'165.9 x 76.3 x 8.7 mm (6.53 x 3.00 x 0.34 in)',b'195 g (6.88 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.5 inches, 102.0 cm2 (~80.6% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'","b'Android 10, planned upgrade to Android 11'",b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (dedicated slot)',"b'32GB 2GB RAM, 64GB 3GB RAM'","b'5 MP, f/2.4'","b'LED flash, HDR, panorama'",b'1080p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 4500 mAh, non-removable'",,,"b'Fjord, Dusk, Charcoal'",b'eMMC 5.1',,,,,,,,,,,b'$\xe2\x80\x89139.00 / \xe2\x82\xac\xe2\x80\x89180.83 / \xc2\xa3\xe2\x80\x8999.95',b'LTE (unspecified)',,,"b'TA-1277, TA-1275, TA-1274, TA-1270'",,,,,,,,"b'13 MP, AF 2 MP, (depth)'",b'0.77 W/kg (head) \xc2\xa0 \xc2\xa0 1.32 W/kg (body)',b'0.27 W/kg (head) \xc2\xa0 \xc2\xa0 1.54 W/kg (body)',,,,b'\xe2\x82\xac\xe2\x80\x89180.83',b'$\xe2\x80\x89139.00',,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
