Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,OS,Card slot,Single,Video,_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Browser,_1_1,Type_1,Stand-by,Talk time,Colors,Internal,GPRS,EDGE,Keyboard,Phonebook,Call records,Features,Messaging,Games,Java,Alert types,4G bands,Chipset,CPU,GPU,Single_1,Video_1,NFC,Infrared port,Music play,Price,Build,Dual,Charging,Features_1,Models,SAR,Quad,128GB 8GB RAM,Protection,Triple,64GB 4GB RAM,128GB 6GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,Dual_1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'infinix',b'Infinix Hot 10 Lite',b'https://fdn2.gsmarena.com/vv/bigpic/infinix-hot10-lite-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, September 29'","b'Available. Released 2020, October 26'",b'165.5 x 76.4 x 8.8 mm (6.52 x 3.01 x 0.35 in)',b'-',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.6 inches, 105.2 cm2 (~83.2% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~266 ppi density)'",b'HSDPA 900 / 2100',b'Android 10 (Go edition)',b'microSDXC (dedicated slot)',"b'8 MP, (wide)'",b'1080p@30fps',"b'3, 7, 20'",b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'",,b'eMMC 5.1',"b'Li-Po 5000 mAh, non-removable'",,,"b'Black, Red, Blue, Green'","b'32GB 2GB RAM, 64GB 3GB RAM'",,,,,,b'Triple-LED flash',,,,,"b'1, 2, 3, 4, 5, 7, 8, 20, 28'",,,,,b'1080p@30fps',b'No',,,b'About 100 EUR',,,b'Charging 10W',b'Dual-LED flash',b'X657B',,,,,"b'13 MP, (wide), AF QVGA QVGA'",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'infinix',b'Infinix Hot 10',b'https://fdn2.gsmarena.com/vv/bigpic/infinix-hot10.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, September 17'","b'Available. Released 2020, October 17'",b'171.1 x 77.6 x 8.9 mm (6.74 x 3.06 x 0.35 in)',b'195 g (6.88 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.78 inches, 109.2 cm2 (~82.2% screen-to-body ratio)'",b'720 x 1640 pixels (~264 ppi density)',b'eMMC 5.1',"b'Android 10, XOS 6.0'",b'microSDXC (dedicated slot)',"b'8 MP, (wide)'",b'1080p@30fps',,b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,,"b'Li-Po 5200 mAh, non-removable'",,,"b'Obsidian Black, Amber Red, Moonlight Jade, Ocean Wave'","b'64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM'",,,,,,"b'Quad-LED flash, HDR, panorama'",,,,,"b'1, 2, 3, 4, 5, 7, 8, 20, 38, 40, 41'",b'Mediatek Helio G70 (12 nm)',b'Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55)',b'Mali-G52 2EEMC2',,b'1080p@30fps',b'No',,,"b'\xe2\x82\xb9\xe2\x80\x8910,497'","b'Glass front, plastic back, plastic frame'",,,,"b'X682B, X682C'",,"b'16 MP, (wide), PDAF 2 MP, (macro) 2 MP, (depth) QVGA (Low light sensor)'",,,,"b'\xe2\x82\xb9\xe2\x80\x8910,497'","b'\xe2\x82\xb9\xe2\x80\x8912,649'",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'infinix',b'Infinix Zero 8',b'https://fdn2.gsmarena.com/vv/bigpic/infinix-zero8.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE-A'","b'2020, August 27'","b'Available. Released 2020, August 31'",b'168.7 x 76.1 x 9.1 mm (6.64 x 3.00 x 0.36 in)',b'205 g (7.23 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 90Hz'","b'6.85 inches, 111.4 cm2 (~86.8% screen-to-body ratio)'",b'1080 x 2460 pixels (~392 ppi density)',,b'Android 10',b'microSDXC (dedicated slot)',,"b'4K@30fps, 1080p@30fps, gyro-EIS'",,b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'",,,"b'Li-Po 4500 mAh, non-removable'",,,"b'Silver Diamond, Black Diamond, Green Diamond'",b'128GB 8GB RAM',,,,,,"b'Quad-LED flash, HDR, panorama'",,,,,"b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41'",b'Mediatek MT6785 Helio G90T (12 nm)',b'Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)',b'Mali-G76 MC4',,b'1080p@30fps',b'No',,,b'$\xe2\x80\x89249.99',,"b'48 MP, f/2.2, (wide), 1/2.0"", 0.8\xc2\xb5m 8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12\xc2\xb5m'",b'Fast charging 33W',b'HDR',b'X687',,"b'64 MP, f/1.9, (wide), 1/1.73"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.3, (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (depth) 2 MP, f/2.4, (depth)'",b'$\xe2\x80\x89249.99',,,,,"b'AnTuTu: 282348 (v8) GeekBench: 6640 (v4.4), 1663 (v5.1) GFXBench: 15fps (ES 3.1 onscreen)'",b'Contrast ratio: 2184:1 (nominal)',b'Photo / Video',b'-28.4 LUFS (Average)',b'Endurance rating 116h',
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'infinix',b'Infinix Smart 5',b'https://fdn2.gsmarena.com/vv/bigpic/infinix-smart5-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, August 13'","b'Available. Released 2020, August 20'",b'165.4 x 76.4 x 8.8 mm (6.51 x 3.01 x 0.35 in)',b'183 g (6.46 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.6 inches, 105.2 cm2 (~83.2% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~266 ppi density)'",b'eMMC 5.1',b'Android 10 (Go edition)',b'microSDXC (dedicated slot)',b'8 MP',b'1080p@30fps',,b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'",,,"b'Li-Po 5000 mAh, non-removable'",,,"b'Ocean Wave, Quetzal Cyan, Midnight Black'","b'32GB 2GB RAM, 64GB 3GB RAM'",,,,,,b'Triple-LED flash',,,,,"b'1, 3, 5, 7, 8, 20, 38, 40, 41'",b'Mediatek MT6761D Helio A20 (12 nm)',b'Quad-core 1.8 GHz Cortex-A53',b'PowerVR GE8320',,b'1080p@30fps',b'No',,,b'About 70 EUR',"b'Glass front, plastic back, plastic frame'",,b'Charging 10W',b'Dual-LED flash',"b'X657, X657C'",,,,,b'13 MP + QVGA + QVGA (X657 model) or 8 MP + QVGA (X657C model)',,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'infinix',b'Infinix Hot 9 Play',b'https://fdn2.gsmarena.com/vv/bigpic/infinix-hot9-play.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, April 09'","b'Available. Released 2020, April 09'",b'171.8 x 78 x 8.9 mm (6.76 x 3.07 x 0.35 in)',b'209 g (7.37 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.82 inches, 110.5 cm2 (~82.4% screen-to-body ratio)'",b'720 x 1640 pixels (~263 ppi density)',b'eMMC 5.1',"b'Android 9.0 Pie (Go edition) - 32/2GBAndroid 9.0 (Pie) - 32/3GB, 64/3-4GB'",b'microSDXC (dedicated slot)',"b'8 MP, (wide)'",b'1080p@30fps',,b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,,"b'Li-Po 6000 mAh, non-removable'",,,"b'Midnight Black, Quetzal Cyan, Violet, Ocean Wave'","b'32GB 2GB RAM, 32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM'",,,,,,"b'Triple-LED flash, panorama, HDR'",,,,,"b'1, 2, 3, 4, 5, 7, 8, 20, 38, 40, 41'","b'Mediatek MT6761 Helio A22 (12 nm) - 32/2GBMediaTek Helio A25 (12 nm) - 32/3GB, 64/3-4GB'","b'Quad-core 2.0 GHz Cortex-A53 - 32/2GBOcta-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53) - 32/3GB, 64/3-4GB'",b'PowerVR GE8300PowerVR GE8320',,b'1080p@30fps',b'No',,,b'About 100 EUR',"b'Glass front, plastic back, plastic frame'","b'13 MP, (wide), 1/3.1"", 1.12\xc2\xb5m, AF QVGA (Low light sensor)'",,,"b'X680, X680B'",,,,,,,,,,,,,
