Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1,Features_1,_1_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,Models,Talk time_1,SAR EU,Music play,SAR,Browser,Keyboard,Build,Triple,Dual,32GB 3GB RAM,Quad,64GB 4GB RAM,128GB 4GB RAM,128GB 6GB RAM,32GB 2GB RAM,16GB 2GB RAM,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Phonebook,Call records,Messaging,Games,Java,Stand-by_1,Alert types,Clock,Alarm,Languages
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Fire HD 8 Plus (2020)',b'https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd8-2020.jpg',b'No cellular connectivity',b'N/A',b'No',b'No',"b'2020, March 13'","b'Available. Released 2020, June 03'",b'202 x 137 x 9.7 mm (7.95 x 5.39 x 0.38 in)',b'355 g (12.52 oz)',b'No',b'Alexa natural language commands Text-to-Speech English-language content reader',b'IPS LCD',"b'8.0 inches, 185.6 cm2 (~67.1% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~189 ppi density)'","b'Android 9.0 (Pie), Fire OS 7'",b'MediaTek MT8168 (12 nm)',b'Quad-core 2.0 GHz Cortex-A53',b'microSDXC (dedicated slot)',"b'32GB 3GB RAM, 64GB 3GB RAM'",b'2 MP',b'Yes',b'2 MP',b'Yes',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band'","b'5.0, A2DP, LE'",b'No',b'No',b'No',b'USB Type-C',b'Accelerometer',b'',b'Up to 12 h',"b'White, Black, Twilight Blue, Plum'",b'About 100 EUR',,,,b'Mali-G52 MC1',,,,,,,,,,,,,b'Wireless charging',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Fire HD 8 (2020)',b'https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd8-2020.jpg',b'No cellular connectivity',b'N/A',b'No',b'No',"b'2020, March 13'","b'Available. Released 2020, June 03'",b'202 x 137 x 9.7 mm (7.95 x 5.39 x 0.38 in)',b'355 g (12.52 oz)',b'No',b'Alexa natural language commands Text-to-Speech English-language content reader',b'IPS LCD',"b'8.0 inches, 185.6 cm2 (~67.1% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~189 ppi density)'","b'Android 9.0 (Pie), Fire OS 7'",b'MediaTek MT8168 (12 nm)',b'Quad-core 2.0 GHz Cortex-A53',b'microSDXC (dedicated slot)',"b'32GB 2GB RAM, 64GB 2GB RAM'",b'2 MP',b'Yes',b'2 MP',b'Yes',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band'","b'5.0, A2DP, LE'",b'No',b'No',b'No',b'USB Type-C',b'Accelerometer',b'',b'Up to 12 h',"b'White, Black, Twilight Blue, Plum'",b'About 80 EUR',,,,b'Mali-G52 MC1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Fire HD 10 (2019)',b'https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10-2019.jpg',b'No cellular connectivity',b'N/A',b'No',b'No',"b'2019, September'","b'Available. Released 2019, October'",b'262 x 159 x 9.8 mm (10.31 x 6.26 x 0.39 in)',b'504 g (1.11 lb)',b'No',b'Text-to-Speech English-language content reader',b'IPS LCD',"b'10.1 inches, 295.8 cm2 (~71.0% screen-to-body ratio)'","b'1920 x 1200 pixels, 16:10 ratio (~224 ppi density)'","b'Android 9.0 (Pie), Fire OS 7'",b'Mediatek MT8183 Helio P60T (12 nm)',b'Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',b'microSDXC (dedicated slot)',"b'32GB 2GB RAM, 64GB 2GB RAM'",b'2 MP',b'720p',b'2 MP',b'720p',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band'","b'4.2, A2DP, LE'",b'No',b'No',b'No',"b'USB Type-C 2.0, USB On-The-Go'",b'Accelerometer',"b'Li-Ion, non-removable'",,"b'Black, Plum, Twilight Blue, White'",b'About 160 EUR',,,,b'Mali-G72 MP3',,,,,,,,,,,,,,b'KFMAWI',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
