Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,OS,Chipset,CPU,GPU,Card slot,Internal,_1,Triple,Features,Video,Dual,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Charging,Colors,_1_1,Models,Price,Quad,Single,Performance,Display,Camera,Loudspeaker_1,Battery life,GPRS,EDGE,Build,4GB,Single_1,Dual_1,Protection,128GB 4GB RAM,256GB 8GB RAM,128GB 8GB RAM,128GB 6GB RAM,Audio quality,256GB 6GB RAM,Triple_1,64GB 3GB RAM,64GB 4GB RAM,64GB 6GB RAM,SAR EU,SAR,Stand-by,Talk time
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor Watch ES',b'https://fdn2.gsmarena.com/vv/bigpic/honor-watch-es.jpg',b'No cellular connectivity',b'N/A',b'N/A',b'N/A',,b'No',"b'2020, September 04'","b'Available. Released 2020, September 07'",b'-',b'21 g (0.74 oz)',b'No',b'AMOLED',"b'1.64 inches, 7.7 cm2'",b'280 x 456 pixels (~326 ppi density)',b'5ATM water resistant',b'Huawei wearable platform',,,,b'No',b'4GB',b'eMMC',,,,,,,b'No',b'No',b'No',"b'5.0, LE'",b'Yes',b'No',,b'No',b'No',"b'Accelerometer, gyro, heart rate, SpO2'","b'Li-Ion, non-removable'",,"b'Meteorite Black, Coral Pink, Icelandic White'",b'No',,b'$\xe2\x80\x89104.99 / \xe2\x82\xac\xe2\x80\x8964.90',,,,,,,,b'No',b'No',"b'Glass front, plastic back, plastic frame'",b'$\xe2\x80\x89104.99',,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor Pad 6',b'https://fdn2.gsmarena.com/vv/bigpic/honor-pad-6.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 2100',b'LTE (unspecified)',,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, July 17'","b'Available. Released 2020, July 28'",b'240.2 x 159 x 7.6 mm (9.46 x 6.26 x 0.30 in)',b'460 g (1.01 lb)',b'Nano-SIM',b'IPS LCD',"b'10.1 inches, 295.8 cm2 (~77.4% screen-to-body ratio)'","b'1200 x 1920 pixels, 16:10 ratio (~224 ppi density)'",b'Stylus support',"b'Android 10, Magic UI 3.1, no Google Play Services'",b'Kirin 710A (14 nm)',b'Octa-core (4x2.0 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)',b'Mali-G51 MP4',b'No',"b'64GB 4GB RAM, 128GB 4GB RAM'",,,"b'HDR, panorama'",b'1080p@30fps',,,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'",b'Yes',b'No',,b'No',b'USB Type-C 2.0',b'Accelerometer',"b'Li-Po 5100 mAh, non-removable'",b'Charging 10W',b'Space Gray',,"b'AGS3-W09, AGS3-AL09'",,,"b'5 MP, f/2.2, AF'",,,,,,,,"b'Glass front, aluminum frame, aluminum back'",,"b'2 MP, f/2.4'",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor Pad X6',b'https://fdn2.gsmarena.com/vv/bigpic/honor-pad-x6.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 2100',b'LTE (unspecified)',,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, July 17'","b'Available. Released 2020, July 28'",b'240.2 x 159 x 7.6 mm (9.46 x 6.26 x 0.30 in)',b'460 g (1.01 lb)',b'Nano-SIM',b'IPS LCD',"b'9.7 inches, 272.8 cm2 (~71.4% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~156 ppi density)'",b'Stylus support',"b'Android 10, Magic UI 3.1, no Google Play Services'",b'Kirin 710A (14 nm)',b'Octa-core (4x2.0 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)',b'Mali-G51 MP4',b'Unspecified',"b'32GB 3GB RAM, 64GB 4GB RAM'",,,"b'HDR, panorama'",b'1080p@30fps',,,b'',"b'Yes, with dual speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'",b'Yes',b'No',,b'No',b'USB Type-C 2.0',b'Accelerometer',"b'Li-Po 5100 mAh, non-removable'",b'Charging 10W',b'Neo Mint',,"b'AGR-W09, AGR-AL09'",,,"b'5 MP, f/2.2'",,,,,,,,"b'Glass front, aluminum frame, aluminum back'",,"b'2 MP, f/2.4'",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor X10 Max 5G',b'https://fdn2.gsmarena.com/vv/bigpic/honor-x10-max.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 8, 18, 19, 26, 34, 38, 39, 40, 41'","b'1, 3, 38, 41, 77, 78, 79, 80, 84 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, July 02'","b'Available. Released 2020, July 03'",b'174.4 x 84.9 x 8.3 mm (6.87 x 3.34 x 0.33 in)',b'232 g (8.18 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'LTPS IPS LCD, HDR10'","b'7.09 inches, 125.5 cm2 (~84.7% screen-to-body ratio)'","b'1080 x 2280 pixels, 19:9 ratio (~356 ppi density)'",,"b'Android 10, Magic UI 3.1, no Google Play Services'",b'MediaTek MT6873 Dimensity 800 5G (7 nm)',b'Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55)',b'Mali-G57MP4',"b'NM (Nano Memory), up to 256GB (uses shared SIM slot)'","b'64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM'",,,"b'LED flash, panorama, HDR'","b'4K@30fps, 1080p@30fps, gyro-EIS'","b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 2 MP (depth)'",b'HDR',b'1080p@30fps',"b'Yes, with dual speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'Yes',,b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 22.5W',"b'Black, Blue, Silver'",,b'KKG-AN00',b'About 240 EUR',,b'8 MP',,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor 30 Youth',b'https://fdn2.gsmarena.com/vv/bigpic/honor-30-lite.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'LTE',"b'1, 38, 41, 77, 78, 79 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, July 02'","b'Available. Released 2020, July 08'",b'160 x 75.3 x 8.4 mm (6.30 x 2.96 x 0.33 in)',b'192 g (6.77 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 90Hz'","b'6.5 inches, 102.0 cm2 (~84.7% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~405 ppi density)'",,"b'Android 10, Magic UI 3.1, no Google Play Services'",b'MediaTek MT6873V Dimensity 800 5G (7 nm)',b'Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55)',b'Mali-G57MP4',"b'NM (Nano Memory), up to 256GB (uses shared SIM slot)'","b'64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM'",,"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.4, 120\xcb\x9a (ultrawide) 2 MP, f/2.4, (macro)'","b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps'",,b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',,b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",b'Fast charging 22.5W',"b'Magic Night Black, Dark Blue, Galaxy Silver'",,b'MXW-AN00',b'About 220 EUR',,"b'16 MP, f/2.0'",,,,,,,,,,,,,,,,,,,,,,,,,,
