Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,OS,Card slot,Single,Video,_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Browser,_1_1,Type_1,Stand-by,Talk time,Colors,Internal,GPRS,EDGE,Keyboard,Phonebook,Call records,Features,Messaging,Games,Java,Alert types,4G bands,Chipset,CPU,GPU,Single_1,Video_1,NFC,Infrared port,Music play,Price,Build,Dual,Charging,Features_1,Models,SAR,Quad,128GB 8GB RAM,Protection,Triple,64GB 4GB RAM,128GB 6GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,Dual_1,Stand-by_1,Talk time_1,SAR EU,Clock,Alarm,Audio quality,5G bands,512GB 16GB RAM,128GB 12GB RAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo Legion Duel',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat15 800/210 Mbps, 5G 2.5 Gbps DL'","b'2020, July 22'","b'Available. Released 2020, October 15'",b'169.2 x 78.5 x 9.9 mm (6.66 x 3.09 x 0.39 in)',b'239 g (8.43 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED, 144Hz, HDR10+'","b'6.65 inches, 108.6 cm2 (~81.7% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~388 ppi density)'",b'Water-repellent coating',"b'Android 10, Legion OS/ ZUI12'",b'No',"b'Motorized pop-up 20 MP, f/2.2, 25mm (wide), 1/3.1"", 0.9\xc2\xb5m'",b'4K@30fps gyro-EIS',b'UFS 3.1',"b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD, aptX Adaptive'","b'Yes, with dual-band A-GPS, GLONASS, GALILEO, BDS, QZSS'",b'No',"b'USB Type-C 3.1 (side), USB Type-C 2.0 (bottom), USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'",,,"b'Li-Po 5000 mAh, non-removable'",,,"b'Vengeance Red, Blazing Blue'","b'256GB 12GB RAM, 512GB 16GB RAM'",,,,,,"b'Dual-LED dual-tone flash, panorama, HDR'",,,,,"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 42 - International'",b'Qualcomm SM8250 Snapdragon 865+ (7 nm+)',b'Octa-core (1x3.09 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)',b'Adreno 650',,b'4K@30fps',b'Yes',,,b'\xc2\xa3\xe2\x80\x89799.99',"b'Glass front, glass back, aluminum frame'","b'64 MP, f/1.9, 25mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 16 MP, f/2.2, 120\xcb\x9a, 16mm (ultrawide)'","b'Fast charging 90W, 50% in 10 min, 100% in 30 min (512GB 16GB RAM model) Fast charging 65W, (128GB 12GB RAM, 256GB 12GB RAM models)'","b'LED flash, HDR'",,,,,,,,,,,,,,,,,,,,,"b'1, 3, 28, 38, 41, 77, 78, 79 SA/NSA'",b'\xc2\xa3\xe2\x80\x89799.99',
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo Legion Pro',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat15 800/210 Mbps, 5G 2.5 Gbps DL'","b'2020, July 22'","b'Available. Released 2020, July 30'",b'169.2 x 78.5 x 9.9 mm (6.66 x 3.09 x 0.39 in)',b'239 g (8.43 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED, 144Hz, HDR10+'","b'6.65 inches, 108.6 cm2 (~81.7% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~388 ppi density)'",b'CDMA 800 & TD-SCDMA',"b'Android 10, Legion OS/ ZUI12'",b'No',"b'Motorized pop-up 20 MP, f/2.2, 25mm (wide), 1/3.1"", 0.9\xc2\xb5m'",b'4K@30fps gyro-EIS',b'Water-repellent coating',"b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD, aptX Adaptive'","b'Yes, with dual-band A-GPS, GLONASS, GALILEO, BDS, QZSS'","b'FM radio, recording'","b'Two USB Type-C, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'",,b'UFS 3.1',"b'Li-Po 5000 mAh, non-removable'",,,"b'Vengeance Red, Blazing Blue'","b'128GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM, 512GB 16GB RAM'",,,,,,"b'Dual-LED dual-tone flash, panorama, HDR'",,,,,b'LTE (unspecified) - China',b'Qualcomm SM8250 Snapdragon 865+ (7 nm+)',b'Octa-core (1x3.09 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)',b'Adreno 650',,b'4K@30fps',b'Yes',,,b'$\xe2\x80\x89659.99',"b'Glass front, glass back, aluminum frame'","b'64 MP, f/1.9, 25mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 16 MP, f/2.2, 120\xcb\x9a, 16mm (ultrawide)'","b'Fast charging 90W, 50% in 10 min, 100% in 30 min (512GB 16GB RAM model) Fast charging 65W, (128GB 12GB RAM, 256GB 12GB RAM models) Fast charging 45W, (128GB 8GB RAM model)'","b'LED flash, HDR'",b'L79031',,,b'$\xe2\x80\x89659.99',,,,,,,,,,,,,,,,,b'SA/NSA',b'$\xe2\x80\x89969.99',b'$\xe2\x80\x89719.99'
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo A7',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-a7.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE'","b'2019, April 13'","b'Available. Released 2019, April 13'",b'155 x 75 x 12 mm (6.10 x 2.95 x 0.47 in)',b'-',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.09 inches, 91.0 cm2 (~78.3% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)'",b'eMMC 5.1',b'Android 9.0 (Pie)',b'microSDXC (dedicated slot)',b'5 MP',b'1080p@30fps',,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'Yes',"b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'",,,"b'Li-Po 4000 mAh, non-removable'",,,"b'Black, Blue'",b'64GB 4GB RAM',,,,,,b'LED flash',,,,,"b'1, 3, 5, 8, 38, 40, 41'",b'Unisoc SC9863A (28nm)',b'Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55)',b'IMG8322',,b'',b'No',,,b'About 100 EUR',"b'Glass front, plastic back, plastic frame'","b'13 MP, (wide), 1/3.1"", 1.12\xc2\xb5m, PDAF 2 MP, f/2.4, (depth)'",,,b'L19111',,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo K7',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-a7-.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, April 13'",b'Cancelled',b'-',b'0 (5.68 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.09 inches, 92.6 cm2'","b'720 x 1520 pixels, 19:9 ratio (~276 ppi density)'",b'CDMA 800 & TD-SCDMA',b'Android 10',b'microSDXC (uses shared SIM slot)',b'5 MP',b'1080p@30fps',b'eMMC 5.1',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'Yes',"b'Fingerprint (rear-mounted), accelerometer, proximity'",,,"b'Li-Ion 4000 mAh, non-removable'",,,"b'Blue, Black'",,,,,,,"b'LED flash, HDR, panorama'",,,,,b'LTE',b'Unisoc SC9863A (28nm)',b'Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55)',b'IMG8322',,b'',b'No',,,,,,,b'HDR',,,,,,"b'13 MP, (wide), PDAF 2 MP, (depth)'",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo M10 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-m10-plus.jpg',b'LTE',b'N/A',b'N/A',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, March 27'","b'Available. Released 2020, March 27'",b'244.2 x 153.3 x 8.2 mm (9.61 x 6.04 x 0.32 in)',b'460 g (1.01 lb)',b'Nano-SIM',"b'IPS LCD, 330 nits (typ)'","b'10.3 inches, 307.6 cm2 (~82.2% screen-to-body ratio)'","b'1200 x 1920 pixels, 16:10 ratio (~220 ppi density)'",b'eMMC 5.1',b'Android 9.0 (Pie)',b'microSDXC (dedicated slot)',"b'8 MP, AF'",b'1080p@30fps',,"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, LE'","b'Yes, with A-GPS'",b'No',b'USB Type-C 2.0',b'Accelerometer',,,"b'Li-Po 7000 mAh, non-removable'",,,b'Iron Grey',"b'32GB 2GB RAM, 64GB 4GB RAM, 128GB 4GB RAM'",b'No',b'No',,,,,,,,,b'LTE (unspecified)',b'Mediatek MT6762 Helio P22T (12 nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',b'5 MP',b'',b'No',,,b'About 200 EUR',,,b'Charging 10W',,"b'TB-X606, TB-X606F'",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo M10 FHD REL',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-m10-fhd-rel.jpg',b'LTE',b'N/A',b'N/A',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, January 24'","b'Available. Released 2020, January 24'",b'-',b'520 g (1.15 lb)',b'Yes',"b'IPS LCD, 320 nits (typ)'","b'10.1 inches, 295.8 cm2'","b'1200 x 1920 pixels, 16:10 ratio (~224 ppi density)'",b'eMMC 5.1',b'Android 9.0 (Pie)',b'microSDXC (dedicated slot)',"b'8 MP, AF'",b'1080p@30fps',,"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',,,"b'Li-Po 7000 mAh, non-removable'",,,b'Black',b'32GB 3GB RAM',b'No',b'No',,,,,,,,,b'LTE (unspecified)',b'Qualcomm SDM450 Snapdragon 450 (14 nm)',b'Octa-core 1.8 GHz Cortex-A53',b'Adreno 506',b'5 MP',b'',b'No',,,b'About 180 EUR',,,,,"b'TB-X605FC, TB-X605LC, ZA4Y0079IN'",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo Yoga Smart Tab',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-yoga-smart-tab.jpg',b'No cellular connectivity',b'N/A',b'N/A',,"b'2019, October'","b'Available. Released 2019, October'",b'242mm x 166mm x 8.5-24mm',b'580 g (1.28 lb)',b'No',b'IPS LCD',"b'10.1 inches, 295.8 cm2 (~73.6% screen-to-body ratio)'","b'1200 x 1920 pixels, 16:10 ratio (~224 ppi density)'",b'Built-in 3-stage kickstand',b'Android 9.0 (Pie)',b'microSDXC (dedicated slot)',"b'8 MP, AF'",b'1080p@30fps',b'eMMC 5.1',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct, hotspot'","b'4.2, A2DP'",b'No',b'No',b'USB Type-C 2.0',b'Accelerometer',,,"b'Li-Po 7000 mAh, non-removable'",,,b'Iron Grey',b'64GB 4GB RAM',b'No',b'No',,,,,,,,,b'N/A',b'Qualcomm SDM439 Snapdragon 439 (12 nm)',b'Octa-core (4x1.95 GHz Cortex-A53 & 4x1.45 GHz Cortex A53)',b'Adreno 505',b'5 MP',b'1080p@30fps',b'No',,,b'About 320 EUR',,,b'Charging 10W',,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo K10 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-k10-plus.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2019, September 23'","b'Available. Released 2019, September 30'",b'158.3 x 75.8 x 8.3 mm (6.23 x 2.98 x 0.33 in)',b'172 g (6.07 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.22 inches, 96.6 cm2 (~80.5% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~270 ppi density)'",b'CDMA 800 & TD-SCDMA',"b'Android 9.0 (Pie), ZUI 11'",b'microSDXC (dedicated slot)',"b'16 MP, f/2.0, 13mm (ultrawide), 1/2.8"", 1.12\xc2\xb5m'",b'1080p@30fps',b'eMMC 5.1',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'","b'FM radio, recording'","b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'",,,"b'Li-Po 4050 mAh, non-removable'",,,"b'Black, Sprite'",b'64GB 4GB RAM',,,,,,"b'LED flash, panorama, HDR'",,,,,"b'1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41'",b'Qualcomm SDM632 Snapdragon 632 (14 nm)',b'Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver)',b'Adreno 506',,b'1080p@30fps',b'No',,,,"b'Glass front, plastic back, plastic frame'",,b'Charging 10W',b'HDR',"b'PAGW0015IN, L39051'",b'0.34 W/kg (head) \xc2\xa0 \xc2\xa0 0.90 W/kg (body)',,,,"b'13 MP, f/2.0, (wide), 1/3.1"", 1.12\xc2\xb5m, PDAF 8 MP, 13mm (ultrawide), 1/4.0"", 1.12\xc2\xb5m 5 MP, f/2.2, (depth)'",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
